order,segment,user_id,target_item,corrected_target_rank,corrected_hit_at_1,corrected_hit_at_3,corrected_hit_at_5,corrected_hit_at_10,corrected_ndcg_at_10,corrected_ranking_success,memory_only_target_rank,memory_only_hit_at_1,memory_only_hit_at_3,memory_only_hit_at_5,memory_only_hit_at_10,memory_only_ndcg_at_10,memory_only_ranking_success,read_target_rank,read_hit_at_1,read_hit_at_3,read_hit_at_5,read_hit_at_10,read_ndcg_at_10,read_ranking_success,full_target_rank,full_hit_at_1,full_hit_at_3,full_hit_at_5,full_hit_at_10,full_ndcg_at_10,full_ranking_success,memory_only_minus_corrected_ndcg_at_10,read_minus_memory_only_ndcg_at_10,full_minus_read_ndcg_at_10
15,1,1117,81851,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,0.0,0.0,0.0
16,1,2739,39502,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,3,0,0,1,1,0.43067655807339306,True,0.0,0.0,-0.5693234419266069
17,1,7327,147384,5,0,0,0,1,0.3562071871080222,True,5,0,0,0,1,0.3562071871080222,True,5,0,0,0,1,0.3562071871080222,True,5,0,0,0,1,0.3562071871080222,True,0.0,0.0,0.0
18,1,6382,62195,0,1,1,1,1,1.0,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,0,1,1,1,1,1.0,True,-0.36907024642854247,0.0,0.36907024642854247
19,1,5585,3153,2,0,1,1,1,0.5,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.5,0.0,0.0
20,1,347,48897,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
21,1,5378,2319,1,0,1,1,1,0.6309297535714575,True,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,-0.13092975357145753,0.0,0.0
22,1,657,154522,7,0,0,0,1,0.31546487678572877,True,7,0,0,0,1,0.31546487678572877,True,7,0,0,0,1,0.31546487678572877,True,5,0,0,0,1,0.3562071871080222,True,0.0,0.0,0.04074231032229342
23,1,1263,127589,5,0,0,0,1,0.3562071871080222,True,5,0,0,0,1,0.3562071871080222,True,5,0,0,0,1,0.3562071871080222,True,5,0,0,0,1,0.3562071871080222,True,0.0,0.0,0.0
24,1,2406,87595,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,5,0,0,0,1,0.3562071871080222,True,0.0,0.0,-0.14379281289197782
25,1,6815,136430,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
26,1,6328,37926,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,0.0,0.0,0.0
27,1,1422,190697,1,0,1,1,1,0.6309297535714575,True,3,0,0,1,1,0.43067655807339306,True,3,0,0,1,1,0.43067655807339306,True,3,0,0,1,1,0.43067655807339306,True,-0.20025319549806447,0.0,0.0
28,1,1901,44335,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
29,1,7265,146478,2,0,1,1,1,0.5,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,3,0,0,1,1,0.43067655807339306,True,0.13092975357145753,0.0,-0.20025319549806447
30,1,6526,82150,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
31,1,6161,114684,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
32,1,3724,38276,3,0,0,1,1,0.43067655807339306,True,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,3,0,0,1,1,0.43067655807339306,True,0.06932344192660694,0.0,-0.06932344192660694
33,1,738,28449,6,0,0,0,1,0.3333333333333333,True,6,0,0,0,1,0.3333333333333333,True,6,0,0,0,1,0.3333333333333333,True,6,0,0,0,1,0.3333333333333333,True,0.0,0.0,0.0
34,1,5278,107193,0,1,1,1,1,1.0,True,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,-0.5,0.0,0.0
35,1,3555,75347,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,7,0,0,0,1,0.31546487678572877,True,0.0,0.0,0.014434881121747567
36,1,1327,28498,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
37,1,6020,22427,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
38,1,567,42368,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
39,1,311,47018,5,0,0,0,1,0.3562071871080222,True,6,0,0,0,1,0.3333333333333333,True,6,0,0,0,1,0.3333333333333333,True,5,0,0,0,1,0.3562071871080222,True,-0.022873853774688868,0.0,0.022873853774688868
40,1,1577,137888,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
41,1,2817,110886,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
42,1,2240,160967,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
43,1,3119,85547,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,0.0,0.0,0.0
44,1,6648,163261,2,0,1,1,1,0.5,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,2,0,1,1,1,0.5,True,0.5,0.0,-0.5
45,1,6225,171795,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,0.0,0.0,0.0
46,1,2812,90503,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
47,1,914,82547,1,0,1,1,1,0.6309297535714575,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.36907024642854247,0.0,0.0
48,1,3582,164985,0,1,1,1,1,1.0,True,4,0,0,1,1,0.38685280723454163,True,4,0,0,1,1,0.38685280723454163,True,4,0,0,1,1,0.38685280723454163,True,-0.6131471927654584,0.0,0.0
49,1,877,114573,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,3,0,0,1,1,0.43067655807339306,True,2,0,1,1,1,0.5,True,0.0,-0.06932344192660694,0.06932344192660694
50,1,209,60185,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
51,1,6445,74677,5,0,0,0,1,0.3562071871080222,True,7,0,0,0,1,0.31546487678572877,True,7,0,0,0,1,0.31546487678572877,True,6,0,0,0,1,0.3333333333333333,True,-0.04074231032229342,0.0,0.01786845654760455
52,1,2886,140135,6,0,0,0,1,0.3333333333333333,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,-0.044268507015445435,0.0,0.0
53,1,2787,138471,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
54,1,6721,139168,1,0,1,1,1,0.6309297535714575,True,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,1,0,1,1,1,0.6309297535714575,True,-0.13092975357145753,0.0,0.13092975357145753
55,1,3378,80318,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
56,1,6008,20956,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
57,1,6401,134457,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,0.0,0.0,0.0
58,1,4582,74857,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,0.0,0.0,0.0
59,1,5680,93789,4,0,0,1,1,0.38685280723454163,True,5,0,0,0,1,0.3562071871080222,True,5,0,0,0,1,0.3562071871080222,True,6,0,0,0,1,0.3333333333333333,True,-0.030645620126519446,0.0,-0.022873853774688868
60,1,4636,155250,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,1,0,1,1,1,0.6309297535714575,True,2,0,1,1,1,0.5,True,0.0,-0.36907024642854247,-0.13092975357145753
61,1,5438,20674,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,0.0,0.0,0.0
62,1,6285,119225,2,0,1,1,1,0.5,True,5,0,0,0,1,0.3562071871080222,True,5,0,0,0,1,0.3562071871080222,True,3,0,0,1,1,0.43067655807339306,True,-0.14379281289197782,0.0,0.07446937096537087
63,1,5344,124074,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
64,1,6943,124076,1,0,1,1,1,0.6309297535714575,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,1,0,1,1,1,0.6309297535714575,True,0.36907024642854247,0.0,-0.36907024642854247
65,1,6034,144912,5,0,0,0,1,0.3562071871080222,True,5,0,0,0,1,0.3562071871080222,True,5,0,0,0,1,0.3562071871080222,True,4,0,0,1,1,0.38685280723454163,True,0.0,0.0,0.030645620126519446
66,1,5532,141423,2,0,1,1,1,0.5,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,0.13092975357145753,0.0,0.0
67,1,2260,123800,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
68,1,5111,173204,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,1,0,1,1,1,0.6309297535714575,True,0.0,0.0,-0.36907024642854247
69,1,5703,31832,4,0,0,1,1,0.38685280723454163,True,2,0,1,1,1,0.5,True,4,0,0,1,1,0.38685280723454163,True,3,0,0,1,1,0.43067655807339306,True,0.11314719276545837,-0.11314719276545837,0.04382375083885143
70,1,596,183402,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,10,0,0,0,0,0.0,False,0.0,0.0,-1.0
71,1,4263,71139,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,0.0,0.0,0.0
72,1,3267,19224,9,0,0,0,1,0.2890648263178879,True,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,0.011965169346093318,0.0,0.0
73,1,1890,111657,7,0,0,0,1,0.31546487678572877,True,6,0,0,0,1,0.3333333333333333,True,6,0,0,0,1,0.3333333333333333,True,6,0,0,0,1,0.3333333333333333,True,0.01786845654760455,0.0,0.0
74,1,3076,55069,4,0,0,1,1,0.38685280723454163,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.6131471927654584,0.0,0.0
75,1,1440,30237,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,2,0,1,1,1,0.5,True,0.0,0.0,-0.13092975357145753
76,1,5391,55151,3,0,0,1,1,0.43067655807339306,True,3,0,0,1,1,0.43067655807339306,True,3,0,0,1,1,0.43067655807339306,True,2,0,1,1,1,0.5,True,0.0,0.0,0.06932344192660694
77,1,6760,73280,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,8,0,0,0,1,0.3010299956639812,True,0.0,0.0,0.011965169346093318
78,1,165,5904,1,0,1,1,1,0.6309297535714575,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.36907024642854247,0.0,0.0
79,1,2222,23533,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,0.0,0.0,0.0
80,1,4324,53751,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,4,0,0,1,1,0.38685280723454163,True,0.0,0.0,-0.2440769463369159
81,1,6113,25970,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,0.0,0.0,0.0
82,1,5365,46683,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
83,1,3687,11546,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,0.0,0.0,0.0
84,1,2594,150495,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
85,1,1892,71485,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,8,0,0,0,1,0.3010299956639812,True,0.0,0.0,0.011965169346093318
86,1,3607,138506,0,1,1,1,1,1.0,True,2,0,1,1,1,0.5,True,3,0,0,1,1,0.43067655807339306,True,1,0,1,1,1,0.6309297535714575,True,-0.5,-0.06932344192660694,0.20025319549806447
87,1,3365,180176,8,0,0,0,1,0.3010299956639812,True,6,0,0,0,1,0.3333333333333333,True,3,0,0,1,1,0.43067655807339306,True,3,0,0,1,1,0.43067655807339306,True,0.03230333766935212,0.09734322474005974,0.0
88,1,7161,68534,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,2,0,1,1,1,0.5,True,1,0,1,1,1,0.6309297535714575,True,0.0,-0.5,0.13092975357145753
89,1,3321,37878,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
90,1,1333,90871,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,2,0,1,1,1,0.5,True,0.0,0.0,-0.5
91,1,5037,178548,0,1,1,1,1,1.0,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,0,1,1,1,1,1.0,True,-0.36907024642854247,0.0,0.36907024642854247
92,1,3952,11505,3,0,0,1,1,0.43067655807339306,True,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,-0.12964656240941186,0.0,0.0
93,1,4780,124851,6,0,0,0,1,0.3333333333333333,True,3,0,0,1,1,0.43067655807339306,True,3,0,0,1,1,0.43067655807339306,True,3,0,0,1,1,0.43067655807339306,True,0.09734322474005974,0.0,0.0
94,1,846,34628,2,0,1,1,1,0.5,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,2,0,1,1,1,0.5,True,0.5,0.0,-0.5
95,1,4827,38876,1,0,1,1,1,0.6309297535714575,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,8,0,0,0,1,0.3010299956639812,True,-0.34186492725356965,0.0,0.011965169346093318
96,1,3359,150932,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,1,0,1,1,1,0.6309297535714575,True,0.0,0.0,-0.36907024642854247
97,1,615,62959,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,1,0,1,1,1,0.6309297535714575,True,0.0,0.0,0.34186492725356965
98,1,4455,8690,1,0,1,1,1,0.6309297535714575,True,3,0,0,1,1,0.43067655807339306,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,-0.20025319549806447,0.20025319549806447,0.0
99,1,5274,66640,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,0,1,1,1,1,1.0,True,0.0,0.0,0.36907024642854247
100,1,284,93709,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,0.0,0.0,0.0
101,2,5372,166573,3,0,0,1,1,0.43067655807339306,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,0.20025319549806447,0.0,0.0
102,2,7354,83771,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
103,2,4689,26670,5,0,0,0,1,0.3562071871080222,True,4,0,0,1,1,0.38685280723454163,True,7,0,0,0,1,0.31546487678572877,True,6,0,0,0,1,0.3333333333333333,True,0.030645620126519446,-0.07138793044881286,0.01786845654760455
104,2,5660,177635,8,0,0,0,1,0.3010299956639812,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,8,0,0,0,1,0.3010299956639812,True,0.32989975790747633,0.0,-0.32989975790747633
105,2,5424,158179,0,1,1,1,1,1.0,True,4,0,0,1,1,0.38685280723454163,True,4,0,0,1,1,0.38685280723454163,True,4,0,0,1,1,0.38685280723454163,True,-0.6131471927654584,0.0,0.0
106,2,4499,138970,3,0,0,1,1,0.43067655807339306,True,1,0,1,1,1,0.6309297535714575,True,5,0,0,0,1,0.3562071871080222,True,2,0,1,1,1,0.5,True,0.20025319549806447,-0.27472256646343535,0.14379281289197782
107,2,6620,184236,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
108,2,2551,134964,7,0,0,0,1,0.31546487678572877,True,5,0,0,0,1,0.3562071871080222,True,6,0,0,0,1,0.3333333333333333,True,4,0,0,1,1,0.38685280723454163,True,0.04074231032229342,-0.022873853774688868,0.053519473901208314
109,2,2798,123219,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
110,2,2653,5330,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
111,2,1543,13553,1,0,1,1,1,0.6309297535714575,True,4,0,0,1,1,0.38685280723454163,True,4,0,0,1,1,0.38685280723454163,True,1,0,1,1,1,0.6309297535714575,True,-0.2440769463369159,0.0,0.2440769463369159
112,2,1669,117097,0,1,1,1,1,1.0,True,10,0,0,0,0,0.0,False,10,0,0,0,0,0.0,False,0,1,1,1,1,1.0,True,-1.0,0.0,1.0
113,2,104,10011,1,0,1,1,1,0.6309297535714575,True,4,0,0,1,1,0.38685280723454163,True,3,0,0,1,1,0.43067655807339306,True,5,0,0,0,1,0.3562071871080222,True,-0.2440769463369159,0.04382375083885143,-0.07446937096537087
114,2,5354,59207,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,0.0,0.0,0.0
115,2,2474,163675,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
116,2,490,139170,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
117,2,3497,36732,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,8,0,0,0,1,0.3010299956639812,True,0.0,0.0,0.0
118,2,990,138822,7,0,0,0,1,0.31546487678572877,True,7,0,0,0,1,0.31546487678572877,True,7,0,0,0,1,0.31546487678572877,True,7,0,0,0,1,0.31546487678572877,True,0.0,0.0,0.0
119,2,27,132115,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,0.0,0.0,0.0
120,2,5371,160140,7,0,0,0,1,0.31546487678572877,True,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,7,0,0,0,1,0.31546487678572877,True,0.18453512321427123,0.0,-0.18453512321427123
121,2,4961,156144,2,0,1,1,1,0.5,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,0.13092975357145753,0.0,0.0
122,2,6125,139301,3,0,0,1,1,0.43067655807339306,True,4,0,0,1,1,0.38685280723454163,True,4,0,0,1,1,0.38685280723454163,True,4,0,0,1,1,0.38685280723454163,True,-0.04382375083885143,0.0,0.0
123,2,3168,56859,3,0,0,1,1,0.43067655807339306,True,4,0,0,1,1,0.38685280723454163,True,4,0,0,1,1,0.38685280723454163,True,4,0,0,1,1,0.38685280723454163,True,-0.04382375083885143,0.0,0.0
124,2,5331,33725,0,1,1,1,1,1.0,True,5,0,0,0,1,0.3562071871080222,True,5,0,0,0,1,0.3562071871080222,True,0,1,1,1,1,1.0,True,-0.6437928128919779,0.0,0.6437928128919779
125,2,2464,12237,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
126,2,3947,22458,1,0,1,1,1,0.6309297535714575,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.36907024642854247,0.0,0.0
127,2,3813,184713,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
128,2,1815,23433,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
129,2,2893,137372,4,0,0,1,1,0.38685280723454163,True,4,0,0,1,1,0.38685280723454163,True,4,0,0,1,1,0.38685280723454163,True,0,1,1,1,1,1.0,True,0.0,0.0,0.6131471927654584
130,2,2399,147935,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
131,2,2161,16322,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,9,0,0,0,1,0.2890648263178879,True,0.0,0.0,0.0
132,2,5546,32796,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,0.0,0.0,0.0
